customer_id,country,customer_tier,join_date
C00001,United States,Bronze,2022-11-24
C00002,Mexico,Bronze,2022-02-27
C00003,Germany,Silver,2022-01-13
C00004,United Kingdom,Bronze,2022-05-21
C00005,United States,Bronze,2022-05-06
C00006,United States,Bronze,2022-04-25
C00007,United States,Bronze,2022-03-13
C00008,Australia,Gold,2022-02-22
C00009,Canada,Bronze,2022-12-13
C00010,Germany,Gold,2022-10-07
C00011,United States,Bronze,2022-02-14
C00012,Mexico,Silver,2022-10-30
C00013,Australia,Silver,2022-08-05
C00014,United States,Silver,2022-01-17
C00015,United States,Bronze,2022-01-16
C00016,United States,Silver,2022-02-17
C00017,United States,Bronze,2022-04-22
C00018,United Kingdom,Silver,2022-04-30
C00019,United States,Gold,2022-09-16
C00020,United States,Bronze,2022-11-05
C00021,Canada,Silver,2022-01-14
C00022,United States,Silver,2022-10-15
C00023,United States,Bronze,2022-04-12
C00024,United States,Silver,2022-11-29
C00025,United Kingdom,Gold,2022-12-26
C00026,France,Silver,2022-10-07
C00027,United States,Bronze,2022-08-03
C00028,United Kingdom,Bronze,2022-04-23
C00029,United Kingdom,Bronze,2022-08-18
C00030,United States,Bronze,2022-10-29
C00031,Canada,Silver,2022-05-23
C00032,United States,Silver,2022-01-04
C00033,United States,Bronze,2022-03-23
C00034,Brazil,Gold,2022-12-24
C00035,Mexico,Silver,2022-08-05
C00036,France,Silver,2022-06-24
C00037,United States,Silver,2022-05-23
C00038,United States,Bronze,2022-03-21
C00039,Canada,Gold,2022-04-21
C00040,United States,Bronze,2022-06-22
C00041,United States,Silver,2022-02-22
C00042,United Kingdom,Bronze,2022-02-17
C00043,United States,Gold,2022-07-14
C00044,Japan,Silver,2022-02-19
C00045,United States,Bronze,2022-07-03
C00046,Canada,Bronze,2022-06-26
C00047,United States,Silver,2022-11-06
C00048,United Kingdom,Silver,2022-05-16
C00049,United Kingdom,Silver,2022-01-23
C00050,United States,Silver,2022-08-24
C00051,Mexico,Silver,2022-10-02
C00052,France,Silver,2022-03-05
C00053,Brazil,Silver,2022-07-13
C00054,Japan,Silver,2022-02-10
C00055,United Kingdom,Bronze,2022-10-10
C00056,Brazil,Bronze,2022-05-31
C00057,United States,Bronze,2022-11-18
C00058,United States,Gold,2022-11-13
C00059,United States,Gold,2022-07-05
C00060,United States,Bronze,2022-10-23
C00061,United States,Silver,2022-04-09
C00062,United States,Gold,2022-12-27
C00063,France,Bronze,2022-02-05
C00064,United States,Bronze,2022-01-24
C00065,United States,Bronze,2022-12-05
C00066,United Kingdom,Silver,2022-04-27
C00067,United States,Gold,2022-05-29
C00068,France,Bronze,2022-02-10
C00069,United States,Silver,2022-04-30
C00070,Spain,Bronze,2022-02-21
C00071,France,Bronze,2022-07-14
C00072,United States,Bronze,2022-05-23
C00073,United States,Silver,2022-08-21
C00074,France,Silver,2022-11-22
C00075,Germany,Bronze,2022-07-06
C00076,Germany,Bronze,2022-03-25
C00077,France,Bronze,2022-07-09
C00078,United States,Gold,2022-07-01
C00079,United States,Silver,2022-04-18
C00080,United States,Bronze,2022-12-10
C00081,Australia,Bronze,2022-05-17
C00082,Canada,Bronze,2022-12-26
C00083,United States,Silver,2022-12-16
C00084,United States,Bronze,2022-11-28
C00085,United States,Bronze,2022-02-06
C00086,United States,Bronze,2022-11-08
C00087,Germany,Silver,2022-11-22
C00088,Canada,Gold,2022-03-29
C00089,Japan,Bronze,2022-10-01
C00090,United Kingdom,Silver,2022-05-06
C00091,United States,Silver,2022-03-25
C00092,Germany,Bronze,2022-08-25
C00093,Germany,Silver,2022-07-14
C00094,United Kingdom,Bronze,2022-05-19
C00095,France,Silver,2022-11-24
C00096,United Kingdom,Bronze,2022-12-19
C00097,United Kingdom,Bronze,2022-10-13
C00098,United States,Gold,2022-04-23
C00099,United States,Gold,2022-12-17
C00100,United States,Silver,2022-06-16
C00101,United States,Gold,2022-01-29
C00102,Canada,Bronze,2022-04-28
C00103,United States,Bronze,2022-01-17
C00104,United Kingdom,Silver,2022-06-11
C00105,Japan,Silver,2022-07-25
C00106,United States,Silver,2022-05-18
C00107,United States,Bronze,2022-02-03
C00108,Germany,Gold,2022-04-19
C00109,United States,Bronze,2022-10-18
C00110,United States,Bronze,2022-06-11
C00111,United States,Bronze,2022-04-19
C00112,United States,Silver,2022-12-02
C00113,Brazil,Bronze,2022-09-13
C00114,France,Gold,2022-07-22
C00115,Canada,Silver,2022-11-26
C00116,Australia,Bronze,2022-08-23
C00117,France,Bronze,2022-03-15
C00118,United States,Gold,2022-05-16
C00119,Japan,Silver,2022-03-13
C00120,United Kingdom,Silver,2022-05-07
C00121,France,Silver,2022-10-15
C00122,Japan,Silver,2022-10-03
C00123,United States,Gold,2022-05-15
C00124,United States,Silver,2022-10-27
C00125,United States,Bronze,2022-08-08
C00126,United States,Bronze,2022-10-26
C00127,France,Bronze,2022-07-24
C00128,Australia,Gold,2022-07-05
C00129,United States,Bronze,2022-04-23
C00130,United Kingdom,Bronze,2022-03-12
C00131,United States,Bronze,2022-09-18
C00132,United States,Bronze,2022-09-10
C00133,United States,Bronze,2022-02-16
C00134,United States,Bronze,2022-01-25
C00135,Brazil,Silver,2022-02-26
C00136,United States,Bronze,2022-03-20
C00137,United Kingdom,Bronze,2022-11-18
C00138,Germany,Bronze,2022-03-23
C00139,United States,Bronze,2022-12-15
C00140,Mexico,Gold,2022-08-05
C00141,Mexico,Silver,2022-11-02
C00142,United States,Bronze,2022-02-02
C00143,United Kingdom,Bronze,2022-07-17
C00144,United States,Bronze,2022-07-15
C00145,United States,Silver,2022-11-02
C00146,United States,Silver,2022-08-28
C00147,Canada,Bronze,2022-09-28
C00148,United Kingdom,Bronze,2022-05-09
C00149,United States,Bronze,2022-10-11
C00150,United States,Silver,2022-01-06
C00151,Japan,Bronze,2022-12-15
C00152,United States,Silver,2022-02-28
C00153,United States,Bronze,2022-12-16
C00154,United Kingdom,Silver,2022-10-02
C00155,Spain,Silver,2022-05-17
C00156,United States,Bronze,2022-11-25
C00157,Canada,Bronze,2022-06-24
C00158,Germany,Gold,2022-02-27
C00159,United States,Bronze,2022-05-31
C00160,Germany,Silver,2022-08-11
C00161,United States,Silver,2022-03-22
C00162,Canada,Gold,2022-08-21
C00163,Canada,Silver,2022-01-02
C00164,United Kingdom,Bronze,2022-05-15
C00165,United States,Gold,2022-09-14
C00166,Australia,Silver,2022-04-02
C00167,United States,Bronze,2022-09-17
C00168,United States,Gold,2022-02-24
C00169,United States,Bronze,2022-11-17
C00170,United Kingdom,Silver,2022-06-02
C00171,Canada,Bronze,2022-11-24
C00172,United States,Silver,2022-09-17
C00173,United Kingdom,Silver,2022-11-08
C00174,United States,Silver,2022-04-12
C00175,Canada,Gold,2022-03-20
C00176,United States,Silver,2022-07-11
C00177,Canada,Bronze,2022-03-24
C00178,United States,Bronze,2022-10-04
C00179,Brazil,Bronze,2022-09-29
C00180,United States,Bronze,2022-01-01
C00181,United States,Gold,2022-11-03
C00182,United States,Silver,2022-06-15
C00183,Brazil,Silver,2022-09-08
C00184,Australia,Silver,2022-01-10
C00185,United States,Bronze,2022-02-27
C00186,Canada,Bronze,2022-07-05
C00187,France,Silver,2022-06-07
C00188,United Kingdom,Silver,2022-05-03
C00189,United Kingdom,Bronze,2022-01-30
C00190,United States,Bronze,2022-05-04
C00191,United States,Silver,2022-10-18
C00192,Japan,Bronze,2022-02-10
C00193,Japan,Bronze,2022-02-13
C00194,Canada,Silver,2022-09-06
C00195,United States,Silver,2022-02-05
C00196,United States,Bronze,2022-09-30
C00197,Germany,Bronze,2022-03-06
C00198,Japan,Bronze,2022-03-07
C00199,Japan,Gold,2022-12-04
C00200,France,Silver,2022-09-01
C00201,Canada,Bronze,2022-10-09
C00202,United States,Bronze,2022-03-26
C00203,United States,Silver,2022-05-16
C00204,Japan,Bronze,2022-09-28
C00205,Canada,Bronze,2022-11-07
C00206,United States,Bronze,2022-08-05
C00207,United States,Bronze,2022-04-19
C00208,Canada,Bronze,2022-10-04
C00209,United States,Silver,2022-12-20
C00210,United States,Bronze,2022-04-13
C00211,United Kingdom,Silver,2023-01-01
C00212,Canada,Bronze,2022-06-09
C00213,Canada,Silver,2022-07-24
C00214,United States,Bronze,2022-12-10
C00215,Germany,Silver,2022-11-29
C00216,United States,Gold,2022-07-11
C00217,United States,Silver,2022-08-13
C00218,Germany,Gold,2022-09-22
C00219,Canada,Bronze,2022-08-20
C00220,Australia,Bronze,2022-03-03
C00221,Canada,Bronze,2022-05-07
C00222,United Kingdom,Silver,2022-04-26
C00223,United States,Gold,2022-02-02
C00224,United States,Gold,2022-06-23
C00225,United States,Silver,2022-01-11
C00226,United States,Bronze,2022-10-29
C00227,Mexico,Silver,2022-10-11
C00228,United States,Silver,2022-04-28
C00229,Japan,Gold,2022-10-29
C00230,Canada,Silver,2022-04-23
C00231,France,Bronze,2022-01-04
C00232,United Kingdom,Bronze,2022-02-06
C00233,United Kingdom,Silver,2022-12-29
C00234,United Kingdom,Gold,2022-11-20
C00235,United States,Silver,2022-01-31
C00236,Germany,Silver,2022-04-28
C00237,United States,Silver,2022-02-04
C00238,United States,Bronze,2022-01-17
C00239,Canada,Bronze,2022-06-19
C00240,United States,Bronze,2022-02-06
C00241,Brazil,Silver,2022-09-21
C00242,Mexico,Silver,2022-05-02
C00243,Japan,Bronze,2022-05-23
C00244,United States,Bronze,2022-12-09
C00245,United States,Bronze,2022-09-06
C00246,Brazil,Silver,2022-04-20
C00247,United States,Bronze,2022-10-04
C00248,Mexico,Silver,2022-03-09
C00249,Mexico,Bronze,2022-10-20
C00250,Australia,Bronze,2022-10-23
C00251,United States,Bronze,2022-08-31
C00252,United States,Gold,2022-05-05
C00253,Australia,Bronze,2022-08-31
C00254,United States,Gold,2022-07-28
C00255,United States,Silver,2022-04-08
C00256,United Kingdom,Gold,2022-02-18
C00257,Brazil,Bronze,2022-02-19
C00258,Canada,Silver,2022-12-04
C00259,United Kingdom,Silver,2022-08-09
C00260,United States,Bronze,2022-07-01
C00261,Canada,Silver,2022-08-05
C00262,Spain,Bronze,2022-07-30
C00263,United States,Silver,2022-08-28
C00264,United Kingdom,Gold,2022-01-28
C00265,Australia,Bronze,2022-12-11
C00266,Germany,Gold,2022-12-01
C00267,Canada,Silver,2022-11-27
C00268,Germany,Bronze,2022-02-20
C00269,United States,Bronze,2022-02-01
C00270,United States,Bronze,2022-07-26
C00271,France,Silver,2022-06-23
C00272,France,Gold,2022-02-25
C00273,Australia,Bronze,2022-05-08
C00274,Japan,Bronze,2022-04-09
C00275,United Kingdom,Bronze,2022-04-08
C00276,United Kingdom,Bronze,2022-10-02
C00277,France,Bronze,2022-08-18
C00278,Canada,Silver,2022-03-13
C00279,Germany,Silver,2022-08-05
C00280,France,Bronze,2022-04-04
C00281,Japan,Silver,2022-05-23
C00282,United States,Silver,2022-08-25
C00283,United States,Bronze,2022-05-08
C00284,United States,Bronze,2022-02-08
C00285,United Kingdom,Silver,2022-08-15
C00286,United States,Gold,2022-10-09
C00287,United Kingdom,Silver,2022-02-20
C00288,United Kingdom,Bronze,2022-01-26
C00289,United States,Bronze,2022-11-30
C00290,United Kingdom,Silver,2022-10-04
C00291,United States,Gold,2022-01-08
C00292,United States,Bronze,2022-02-17
C00293,France,Silver,2022-05-02
C00294,United States,Bronze,2022-03-27
C00295,United States,Bronze,2022-07-28
C00296,United Kingdom,Gold,2022-09-06
C00297,Germany,Bronze,2022-09-04
C00298,United States,Gold,2022-04-20
C00299,Canada,Silver,2022-07-25
C00300,United States,Bronze,2022-01-31
C00301,United States,Silver,2022-03-26
C00302,United Kingdom,Bronze,2022-07-14
C00303,United Kingdom,Bronze,2022-01-02
C00304,Canada,Silver,2022-07-19
C00305,Germany,Silver,2022-05-16
C00306,Mexico,Silver,2022-08-21
C00307,United Kingdom,Silver,2022-05-27
C00308,United States,Gold,2022-08-05
C00309,France,Silver,2022-12-23
C00310,United States,Silver,2022-10-12
C00311,United States,Bronze,2022-12-05
C00312,United States,Bronze,2022-09-07
C00313,United States,Bronze,2022-03-21
C00314,Mexico,Gold,2022-04-08
C00315,Australia,Silver,2022-06-01
C00316,Canada,Bronze,2022-04-22
C00317,United States,Silver,2022-01-30
C00318,United States,Gold,2022-10-24
C00319,United States,Bronze,2022-10-05
C00320,United States,Bronze,2022-02-01
C00321,United Kingdom,Bronze,2022-06-10
C00322,Germany,Gold,2022-01-30
C00323,Canada,Bronze,2022-01-26
C00324,United States,Bronze,2022-10-27
C00325,Mexico,Bronze,2022-09-02
